Price,Close,High,Low,Open,Volume
Ticker,GC=F,GC=F,GC=F,GC=F,GC=F
Datetime,,,,,
2025-11-12 16:00:00+00:00,4203.0,4204.60009765625,4186.5,4187.7001953125,0
2025-11-12 17:00:00+00:00,4205.7998046875,4212.60009765625,4198.39990234375,4203.2001953125,21502
2025-11-12 18:00:00+00:00,4213.5,4218.5,4196.89990234375,4206.10009765625,31631
2025-11-12 19:00:00+00:00,4203.2998046875,4216.5,4197.7998046875,4213.7998046875,10680
2025-11-12 20:00:00+00:00,4201.2998046875,4205.5,4196.0,4203.39990234375,9792
2025-11-12 21:00:00+00:00,4201.39990234375,4207.89990234375,4196.5,4201.2998046875,5153
2025-11-12 23:00:00+00:00,4195.60009765625,4210.0,4190.2998046875,4202.39990234375,0
2025-11-13 00:00:00+00:00,4209.2998046875,4212.5,4189.10009765625,4195.5,8200
2025-11-13 01:00:00+00:00,4197.0,4213.0,4183.2001953125,4209.2001953125,11371
2025-11-13 02:00:00+00:00,4194.2001953125,4201.0,4188.10009765625,4197.10009765625,7782
2025-11-13 03:00:00+00:00,4216.7998046875,4217.2001953125,4193.89990234375,4194.0,10175
2025-11-13 04:00:00+00:00,4214.60009765625,4223.89990234375,4207.7001953125,4216.89990234375,7975
2025-11-13 05:00:00+00:00,4216.0,4221.39990234375,4211.2001953125,4213.2998046875,8281
2025-11-13 06:00:00+00:00,4214.39990234375,4216.39990234375,4206.89990234375,4215.39990234375,6848
2025-11-13 07:00:00+00:00,4224.60009765625,4224.89990234375,4212.39990234375,4214.60009765625,8404
2025-11-13 08:00:00+00:00,4237.5,4244.2998046875,4223.39990234375,4224.7001953125,13695
2025-11-13 09:00:00+00:00,4238.2998046875,4245.10009765625,4230.0,4237.39990234375,8850
2025-11-13 10:00:00+00:00,4230.2998046875,4245.60009765625,4226.60009765625,4238.10009765625,8622
2025-11-13 11:00:00+00:00,4235.0,4236.89990234375,4224.0,4230.7001953125,7992
2025-11-13 12:00:00+00:00,4247.39990234375,4250.0,4234.2001953125,4234.7001953125,10175
2025-11-13 13:00:00+00:00,4236.7001953125,4248.7001953125,4224.5,4247.2001953125,16128
2025-11-13 14:00:00+00:00,4199.89990234375,4237.5,4188.60009765625,4236.89990234375,36248
2025-11-13 15:00:00+00:00,4206.60009765625,4209.7001953125,4190.5,4199.7998046875,18274
2025-11-13 16:00:00+00:00,4210.7998046875,4215.7998046875,4200.0,4206.60009765625,17260
2025-11-13 17:00:00+00:00,4206.2998046875,4212.7998046875,4197.7001953125,4211.0,13588
2025-11-13 18:00:00+00:00,4161.60009765625,4207.7998046875,4148.5,4206.2001953125,45551
2025-11-13 19:00:00+00:00,4167.7998046875,4174.5,4149.5,4161.5,17758
2025-11-13 20:00:00+00:00,4168.10009765625,4174.7998046875,4164.2001953125,4167.7998046875,7701
2025-11-13 21:00:00+00:00,4174.5,4185.0,4165.0,4167.89990234375,5281
2025-11-13 23:00:00+00:00,4188.89990234375,4189.60009765625,4173.10009765625,4174.89990234375,0
2025-11-14 00:00:00+00:00,4186.89990234375,4192.60009765625,4180.89990234375,4189.0,5414
2025-11-14 01:00:00+00:00,4193.0,4196.60009765625,4176.2001953125,4186.5,8450
2025-11-14 02:00:00+00:00,4209.7998046875,4213.0,4191.2998046875,4193.10009765625,8733
2025-11-14 03:00:00+00:00,4207.7001953125,4215.10009765625,4204.2001953125,4209.60009765625,4745
2025-11-14 04:00:00+00:00,4206.2001953125,4209.0,4199.5,4207.60009765625,3416
2025-11-14 05:00:00+00:00,4192.7998046875,4206.60009765625,4186.39990234375,4206.2998046875,7865
2025-11-14 06:00:00+00:00,4177.2998046875,4196.2001953125,4171.7001953125,4192.2998046875,8401
2025-11-14 07:00:00+00:00,4184.39990234375,4186.0,4162.10009765625,4177.7001953125,11017
2025-11-14 08:00:00+00:00,4179.10009765625,4190.7001953125,4172.60009765625,4184.5,10415
2025-11-14 09:00:00+00:00,4171.89990234375,4183.60009765625,4169.0,4178.60009765625,7745
2025-11-14 10:00:00+00:00,4170.7001953125,4174.2998046875,4162.60009765625,4171.7001953125,8288
2025-11-14 11:00:00+00:00,4135.60009765625,4172.7998046875,4133.2998046875,4171.0,16872
